MolecularClasses	GF_CC1	GF_CC2	GF_CC3	GF_CC4	GF_CC5	GF_CN1	GF_CN2	GF_CN3	GF_CN4	GF_CN5	GF_CR1	GF_CR2	GF_CR3	GF_CR4	GF_CR5	GF_PF1	GF_PF2	GF_PF3	SA_CC2	SA_CC5	SA_CN1	SA_CN2	SA_CN3	SA_CN4	SA_CN5	SA_CR1	SA_CR2	SA_CR3	SA_CR4	SA_CR5	SA_PF1	SA_PF2	SA_PF3	SA_PF4	SA_PF5
AcylGlcStigmasterol_Esters	0.0	0.0	0.0	0.0	0.0	0.008259	0.008816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acyl_Carnitine	0.0	0.0	0.0	0.0	0.0	0.000968	0.0	0.000264	0.000635	0.001576	0.0	0.0	0.0	0.0	0.0	0.000411	0.000492	0.000294	0.0	0.0	0.001748	0.000945	0.000895	0.00084	0.001784	0.0	0.0	0.0	0.0	0.0	0.000112	0.000565	0.0	0.000808	0.000148
Campesterol_Esters	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000339	0.0	0.000632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000906	0.000725	0.0015	0.000475	0.0
Ceramides	0.696355	0.207477	0.304842	0.160921	0.160159	0.07786	0.065678	0.061719	0.082285	0.064721	0.02887	0.032709	0.030674	0.027032	0.029725	0.083109	0.053986	0.054771	0.142585	0.150498	0.046047	0.065149	0.084447	0.06514	0.051873	0.040515	0.025767	0.032362	0.02999	0.025249	0.042927	0.059688	0.023734	0.066199	0.0591
Ceramides_phosphate	0.0	0.003172	0.001352	0.003904	0.000431	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.000527	0.000709	0.00033	0.0	0.0	0.0	0.000624	0.008317	0.0	0.0	0.0	0.0	0.0	0.000161	0.0	0.0	0.0	0.000106	0.0	0.0	0.000391	0.0	0.0
Cholesterol_Ester	0.00545	0.011883	0.006227	0.01367	0.015152	0.000297	0.0	0.0	0.0	0.000509	0.03071	0.040777	0.040369	0.0464	0.044859	0.000712	0.00091	0.000885	0.020743	0.005262	0.000371	0.0	0.0	0.0	0.0	0.032025	0.0419	0.049316	0.040159	0.070467	0.000217	0.001006	0.000252	0.001171	0.000689
Coenzymes	0.0	0.001446	0.001324	0.002154	0.002109	0.003119	0.002861	0.003095	0.003399	0.003229	0.000817	0.00059	0.000479	0.000762	0.000559	0.001488	0.001753	0.001153	0.001784	0.001701	0.002962	0.002966	0.00314	0.003561	0.003144	0.000816	0.00114	0.000714	0.0012	0.00047	0.000865	0.001674	0.000805	0.002189	0.002242
Diglycerides	0.18894	0.057871	0.073426	0.053168	0.051328	0.021731	0.017863	0.010672	0.018535	0.022677	0.022698	0.022267	0.025221	0.024808	0.022557	0.00231	0.010131	0.00377	0.079373	0.082498	0.0202	0.02416	0.028335	0.023364	0.024066	0.028639	0.027025	0.023949	0.033879	0.026642	0.042841	0.003877	0.049817	0.011939	0.013682
LysoPhosphatidylcholines	0.0	0.0	0.0	0.0	0.000563	0.000627	0.000679	0.00062	0.000774	0.003933	0.002118	0.00118	0.001402	0.001199	0.001618	0.001826	0.001426	0.002157	0.006179	0.000539	0.000677	0.000624	0.000893	0.000672	0.00061	0.000634	0.001655	0.001455	0.001337	0.00149	0.001095	0.001328	0.001551	0.000393	0.001677
LysoPhosphatidylethanolamines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LysoPhosphatidylglycerols	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000196	0.0	0.000182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000514	0.0	0.0	0.0	0.0	0.000496	0.000208	0.000908	0.00024	0.000146
Methyl_Phosphatidylcholines	0.0	0.0	0.0	0.0	0.0	0.073006	0.043955	0.108292	0.079928	0.037816	0.0	0.0	0.0	0.0	0.0	0.007901	0.004795	0.005024	0.0	0.0	0.048796	0.174324	0.090558	0.119236	0.067878	0.0	0.0	0.0	0.0	0.0	0.005109	0.010385	0.004834	0.006229	0.005207
Monogalactosyldiacylglycerol	0.0	0.0	0.0	0.0	0.0	0.003561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monoglycerides	0.058145	0.001388	0.008896	0.000417	0.000199	0.001118	0.001536	0.0	0.000708	0.001782	0.012335	0.009147	0.007792	0.008094	0.009387	0.000281	0.000174	0.000995	0.003322	0.000153	0.001311	0.0	0.002612	0.002591	0.0	0.007898	0.009068	0.010567	0.012655	0.009891	0.014975	0.001171	0.005723	0.004259	0.001266
Phosphatidylcholines	0.0	0.512214	0.437104	0.508002	0.5304	0.605759	0.663834	0.63162	0.612104	0.66179	0.668192	0.662039	0.657234	0.661539	0.655052	0.453368	0.494574	0.424345	0.588944	0.473533	0.629523	0.579802	0.620367	0.59944	0.632918	0.659751	0.634255	0.664581	0.648799	0.630953	0.335023	0.469675	0.428464	0.489846	0.467948
Phosphatidylethanolamines	0.0	0.088363	0.060689	0.076552	0.08247	0.059756	0.041639	0.046961	0.05172	0.049551	0.107905	0.102611	0.094438	0.08796	0.085896	0.146642	0.121136	0.165782	0.038816	0.076899	0.052438	0.042004	0.034867	0.064722	0.057668	0.09021	0.115908	0.088929	0.104127	0.088986	0.085746	0.130451	0.156585	0.156023	0.076374
Phosphatidylglycerols	0.0	0.0	0.0	0.007774	1.36e-05	0.019668	0.019993	0.020264	0.020124	0.022421	0.000159	0.000348	0.000155	0.000721	0.000485	0.018831	0.024273	0.019426	0.000326	0.0	0.018622	0.019098	0.019421	0.02042	0.020621	0.000136	0.000247	0.000158	0.0	0.000285	0.010912	0.008273	0.011765	0.024335	0.017892
Phosphatidylinositols	0.0	0.0	0.0	0.0	0.0	0.000314	0.000202	0.0	0.006721	0.000732	0.00146	0.001129	0.001508	0.001086	0.001188	0.033483	0.003451	0.004482	0.0	0.0	0.007989	0.000402	0.0	0.0	0.0	0.001881	0.002348	0.002062	0.002212	0.001667	0.002319	0.001789	0.003619	0.006583	0.001255
Phosphatidylmethanols	0.0	0.0	0.0	0.0	0.0	0.0	0.008203	0.007072	0.010049	0.00715	0.0	0.0	0.0	0.0	0.0	0.008553	0.006984	0.006791	0.0	0.0	0.006013	0.007587	0.0	0.008317	0.006678	0.0	0.0	0.0	0.0	0.0	0.004009	0.006603	0.002176	0.00764	0.007038
Phosphatidylserines	0.0	0.001111	0.002375	0.004334	0.005665	0.002498	0.001141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001911	0.004686	0.001645	0.001226	0.00669	0.002774	0.0	0.0	0.001294	0.002051	0.0	0.000609	0.0	0.0	0.0	0.005443	0.001829	0.002545	0.001181	0.002509
Simple_Glc_series	0.0	0.001773	0.000968	0.002165	0.00196	0.057253	0.095092	0.082218	0.075118	0.064549	0.035046	0.034102	0.040691	0.031888	0.051637	0.002113	0.002906	0.003363	0.001073	0.006216	0.069167	0.058607	0.064558	0.078829	0.070133	0.026696	0.040792	0.042162	0.041774	0.031702	0.004492	0.003207	0.006419	0.005355	0.004846
Sitosterol_Esters	0.0	0.002273	0.002229	0.003225	0.003062	0.0	0.0	0.0	0.0	0.0	0.003237	0.002764	0.00374	0.002798	0.005458	0.001867	0.001222	0.00083	0.008299	0.001733	0.0	0.0	0.000185	0.0	0.0	0.002743	0.002658	0.003307	0.003426	0.004162	0.001002	0.001152	0.000982	0.001757	0.001042
Sphingomyelins	0.0	0.0	0.009023	0.0	0.0	0.0	0.0	0.0	0.000431	0.0	0.0	0.014047	0.0	0.007756	0.003521	0.0	0.0	0.0	0.0	0.000969	0.0	0.0	0.0	0.0	5.12e-05	1.6e-06	0.001624	0.0	0.0	0.019337	0.0	0.0	0.0	0.0	0.0
Sphingosines	0.0	0.0	0.0	0.0	0.0	0.0	0.000112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002868	0.0	0.0	0.000226
Stigmasterol_Esters	0.0	0.002964	0.002563	0.004415	0.003126	0.0	0.0	0.0	0.0	0.0	0.004292	0.003747	0.005038	0.003559	0.006085	0.009649	0.014169	0.006225	0.002793	0.002578	0.0	0.0	0.0	0.0	0.0	0.004276	0.003874	0.000687	0.005094	0.006477	0.006236	0.007832	0.009464	0.008123	0.007636
Sulfatides	0.0	0.0	0.0	0.0	0.0	0.027984	0.0	0.006802	0.0	0.020919	0.0	0.0	0.0	0.0	0.0	0.001384	0.011567	0.000647	0.0	0.0	0.014729	0.008491	0.027116	0.0	0.009755	0.0	0.0	0.0	0.0	0.0	0.009841	0.001959	0.0034	0.005756	0.004122
Triglycerides	0.05111	0.107165	0.088981	0.155073	0.140984	0.026876	0.018729	0.010315	0.026287	0.029978	0.075386	0.066056	0.078821	0.08518	0.073757	0.207201	0.228217	0.284669	0.102932	0.181838	0.071925	0.006453	0.014012	0.007754	0.039909	0.08935	0.080869	0.069397	0.061927	0.069775	0.386727	0.273723	0.245961	0.187339	0.309229
Wax_Esters	0.0	0.0	0.0	0.0	0.0	0.009348	0.009666	0.010086	0.011182	0.006669	0.0	0.0	0.0	0.0	0.0	0.014854	0.007878	0.007024	0.0	0.0	0.004708	0.009389	0.008594	0.001602	0.010861	0.0	0.0	0.0	0.0	0.0	0.034818	0.008281	0.031525	0.01095	0.012746
Zymosterol_Esters	0.0	0.000899	0.0	0.004227	0.00238	0.0	0.0	0.0	0.0	0.0	0.006553	0.006489	0.011911	0.00851	0.007886	0.00129	0.00527	0.004906	0.000981	0.000575	0.0	0.0	0.0	0.002217	0.0	0.013754	0.01018	0.010353	0.013421	0.012341	0.00389	0.001732	0.00758	0.00121	0.002979
